,index,population,count_intersections,streets_per_node_avg,betweenness_centrality_avg,primary_length_total_ext,highway_length_total_ext,fraction_oneway_ext,N_BFA,N_OtherServices,N_Retail,N_Est_Mfg,N_Est_BFA,N_Est_RW,N_Emp_Mfg,N_Emp_BFA,N_Emp_RW,N_Emp_Tot,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,kopt+0_Clusters,kopt+1_Clusters,kopt+2_Clusters,lat,lon,utm_n,utm_e,geometry,nanostore_count,grid_geometry
10,635,1016,21,3.095238095,0.152255639,0.0,1626.015841,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.193055093,-2.8121898940900003,-2.56000623996,-7.5038444974,9.9554408431,1.9272783104900002,2.4680948695800002,1,2,3,-12.25709042,-76.91792554,8644276.063,291380.8033,POINT (-76.91792554 -12.25709042),26.0,"POLYGON ((290880.623526604 -1356223.935299746, 291880.623526604 -1356223.935299746, 291880.623526604 -1355223.935299746, 290880.623526604 -1355223.935299746, 290880.623526604 -1356223.935299746))"
11,638,1563,20,3.15,0.15877193,0.0,0.0,0.0,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9483776378,-1.4330047670200001,-3.3946294245099997,-9.76184208666,-0.09085229329080001,1.6892929670200003,1.76515628333,1,2,3,-12.257281800000001,-76.89035581,8644276.063,294380.8033,POINT (-76.89035581 -12.2572818),43.0,"POLYGON ((293880.6308004267 -1356223.935434283, 294880.6308004267 -1356223.935434283, 294880.6308004267 -1355223.935434283, 293880.6308004267 -1355223.935434283, 293880.6308004267 -1356223.935434283))"
12,639,2623,19,3.315789474,0.141898865,0.0,0.0,0.027210796000000002,6,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64339794807,-0.0583074581922,-3.9169319553300004,-7.4827591048399995,-0.452378050897,3.15297879562,1.5965299100600001,1,2,3,-12.25734497,-76.88116579,8644276.063,295380.8033,POINT (-76.88116579 -12.25734497),68.0,"POLYGON ((294880.6340219877 -1356223.934540759, 295880.6340219877 -1356223.934540759, 295880.6340219877 -1355223.934540759, 294880.6340219877 -1355223.934540759, 294880.6340219877 -1356223.934540759))"
13,640,2120,12,2.5625,0.19761904800000002,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.488225688800002,-5.122728600059999,-0.6111623565,-17.0815273864,1.4855957514200002,-3.1315161912900003,2.06542702942,1,2,3,-12.25740785,-76.87197573,8644276.063,296380.8033,POINT (-76.87197573 -12.25740785),22.0,"POLYGON ((295880.6360716322 -1356223.935587693, 296880.6360716322 -1356223.935587693, 296880.6360716322 -1355223.935587693, 295880.6360716322 -1355223.935587693, 295880.6360716322 -1356223.935587693))"
14,700,3186,129,3.079710145,0.069031151,0.0,0.0,0.140473831,0,3,0,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,7.38454380229,1.7117672191,1.6093972594,0.6983900932930001,-0.873338335372,1.63063490442,0.48880898931999994,4,0,0,-12.24798793,-76.92704973,8645276.063,290380.8033,POINT (-76.92704972999999 -12.24798793),172.0,"POLYGON ((289880.6208513904 -1355223.93465868, 290880.6208513904 -1355223.93465868, 290880.6208513904 -1354223.93465868, 289880.6208513904 -1354223.93465868, 289880.6208513904 -1355223.93465868))"
15,701,5925,129,3.1470588239999997,0.054679625,0.0,0.0,0.073444169,1,0,1,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,7.05346578401,2.6566947875799998,2.65507256366,2.05469884729,-1.0964854737899998,2.04945467263,0.264997454663,4,0,0,-12.24805229,-76.91786024,8645276.063,291380.8033,POINT (-76.91786024 -12.24805229),215.0,"POLYGON ((290880.6228293482 -1355223.934784885, 291880.6228293482 -1355223.934784885, 291880.6228293482 -1354223.934784885, 290880.6228293482 -1354223.934784885, 290880.6228293482 -1355223.934784885))"
16,703,2573,131,3.131034483,0.050210995999999994,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.868015663360001,3.4706189498300004,1.97267149505,2.55071439189,-1.32987379964,2.1310253869099998,1.3458646607299998,4,0,0,-12.24818009,-76.89948109,8645276.063,293380.8033,POINT (-76.89948108999999 -12.24818009),290.0,"POLYGON ((292880.6283765303 -1355223.935203545, 293880.6283765303 -1355223.935203545, 293880.6283765303 -1354223.935203545, 292880.6283765303 -1354223.935203545, 292880.6283765303 -1355223.935203545))"
17,704,2642,25,3.111111111,0.14017094,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.459589736600002,-1.2417511239299999,-0.9027932694130001,-8.31826334288,0.0459016410014,1.5849113533,2.04914350998,1,2,3,-12.24824353,-76.89029144,8645276.063,294380.8033,POINT (-76.89029144 -12.24824353),44.0,"POLYGON ((293880.6309116182 -1355223.935505134, 294880.6309116182 -1355223.935505134, 294880.6309116182 -1354223.935505134, 293880.6309116182 -1354223.935505134, 293880.6309116182 -1355223.935505134))"
18,705,3445,20,3.19047619,0.13433584,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9616019767,-0.727343931348,-1.11168990874,-7.589438695399999,-0.0854199557164,2.27800548449,2.04068895327,1,2,3,-12.24830666,-76.88110174,8645276.063,295380.8033,POINT (-76.88110174000001 -12.24830666),12.0,"POLYGON ((294880.633321144 -1355223.935500358, 295880.633321144 -1355223.935500358, 295880.633321144 -1354223.935500358, 294880.633321144 -1354223.935500358, 294880.633321144 -1355223.935500358))"
19,766,5774,191,3.270833333,0.050460986,0.0,0.0,0.265891039,1,0,3,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,5.02391189821,4.4800030157499995,2.09427186968,5.31007806844,-1.58288688146,3.6806035047800005,0.459275089068,4,0,4,-12.23894985,-76.92698416,8646276.063,290380.8033,POINT (-76.92698416 -12.23894985),380.0,"POLYGON ((289880.6212132307 -1354223.934951528, 290880.6212132307 -1354223.934951528, 290880.6212132307 -1353223.934951528, 289880.6212132307 -1353223.934951528, 289880.6212132307 -1354223.934951528))"
20,768,7648,181,3.316939891,0.047453498,0.0,0.0,0.180476048,0,4,1,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.8578314502,4.79424370825,2.0717323177,5.31001074369,-1.6652394635499999,3.69731278829,0.406983320223,4,0,4,-12.23907816,-76.90860575,8646276.063,292380.8033,POINT (-76.90860575000001 -12.23907816),25.0,"POLYGON ((291880.6254400158 -1354223.934625557, 292880.6254400158 -1354223.934625557, 292880.6254400158 -1353223.934625557, 291880.6254400158 -1353223.934625557, 291880.6254400158 -1354223.934625557))"
21,829,2298,75,3.12987013,0.089241285,0.0,0.0,0.05782260400000001,0,0,0,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,8.78409294187,0.016117664035200003,1.0854389390299999,-2.2100183510599996,-0.581689921055,1.72944121097,0.590393999181,1,2,0,-12.22971713,-76.95448495,8647276.063,287380.8033,POINT (-76.95448494999999 -12.22971713),52.0,"POLYGON ((286880.6130262732 -1353223.934123841, 287880.6130262732 -1353223.934123841, 287880.6130262732 -1352223.934123841, 286880.6130262732 -1352223.934123841, 286880.6130262732 -1353223.934123841))"
22,830,9489,307,3.319354839,0.036051977,0.0,0.0,0.26381514899999997,2,0,7,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,2.9576827491500004,7.76295028888,3.61840223545,10.3816879888,-2.6415459594599997,3.81360702477,-0.21799782605700002,4,0,4,-12.22978232,-76.94529624,8647276.063,288380.8033,POINT (-76.94529624 -12.22978232),462.0,"POLYGON ((287880.6151433649 -1353223.935098182, 288880.6151433649 -1353223.935098182, 288880.6151433649 -1352223.935098182, 287880.6151433649 -1352223.935098182, 287880.6151433649 -1353223.935098182))"
23,832,6887,159,3.257861635,0.053696685999999993,0.0,0.0,0.355541076,4,2,5,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.262505826580001,4.40541704007,0.40971126909100003,3.52306943398,-1.2173980858600002,3.92300577955,0.325746613532,4,0,4,-12.22991176,-76.92691865,8647276.063,290380.8033,POINT (-76.92691865 -12.22991176),382.0,"POLYGON ((289880.6207144184 -1353223.934838847, 290880.6207144184 -1353223.934838847, 290880.6207144184 -1352223.934838847, 289880.6207144184 -1352223.934838847, 289880.6207144184 -1353223.934838847))"
24,833,6820,254,3.205426357,0.037250235,798.744052,0.0,0.180348326,2,2,4,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.053186290319999,6.28152718005,2.8934421565900004,8.42115659433,-2.12933452234,-0.0355307026533,1.13658614945,4,0,4,-12.22997602,-76.91772978,8647276.063,291380.8033,POINT (-76.91772978 -12.22997602),156.0,"POLYGON ((290880.623142147 -1353223.934720797, 291880.623142147 -1353223.934720797, 291880.623142147 -1352223.934720797, 290880.623142147 -1352223.934720797, 290880.623142147 -1353223.934720797))"
25,834,7112,199,3.1706161139999995,0.044920682,677.3806941,0.0,0.078080804,3,3,11,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.6381431841000005,5.454096766769999,1.33658063596,5.477080119859999,-1.9463778968099998,-0.49656266221400003,-0.111651136993,4,0,4,-12.23003998,-76.90854086,8647276.063,292380.8033,POINT (-76.90854086 -12.23003998),15.0,"POLYGON ((291880.6253725562 -1353223.935348978, 292880.6253725562 -1353223.935348978, 292880.6253725562 -1352223.935348978, 291880.6253725562 -1352223.935348978, 291880.6253725562 -1353223.935348978))"
26,835,3161,64,3.057142857,0.113019121,0.0,0.0,0.055203582,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5476894478,0.186741789703,0.23293816085000002,-5.29799968532,-0.18071663485300002,1.4897990130899998,1.96969149125,1,2,0,-12.23010362,-76.89935188,8647276.063,293380.8033,POINT (-76.89935188 -12.23010362),0.0,"POLYGON ((292880.6285052393 -1353223.934503708, 293880.6285052393 -1353223.934503708, 293880.6285052393 -1352223.934503708, 292880.6285052393 -1352223.934503708, 292880.6285052393 -1353223.934503708))"
27,840,1000,26,3.0,0.184672365,0.0,0.0,0.085997727,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.382183570999999,-3.13598944473,-2.0601789258700003,-12.4118240093,0.5590888350209999,0.756359999498,2.41507987493,1,2,3,-12.23041726,-76.85340625,8647276.063,298380.8033,POINT (-76.85340625000001 -12.23041726),29.0,"POLYGON ((297880.6403355912 -1353223.934882805, 298880.6403355912 -1353223.934882805, 298880.6403355912 -1352223.934882805, 297880.6403355912 -1352223.934882805, 297880.6403355912 -1353223.934882805))"
28,894,1423,32,3.0,0.14367201400000001,0.0,0.0,0.0,0,0,0,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,10.883181247000001,-2.9876494002599996,-0.136059188306,-8.75823543329,0.153780763621,0.17741863127000002,0.7088066150579999,1,2,3,-12.22061375,-76.96360691,8648276.063,286380.8033,POINT (-76.96360691 -12.22061375),5.0,"POLYGON ((285880.6096094978 -1352223.934704183, 286880.6096094978 -1352223.934704183, 286880.6096094978 -1351223.934704183, 285880.6096094978 -1351223.934704183, 285880.6096094978 -1352223.934704183))"
29,897,8544,290,3.25,0.036473394,0.0,0.0,0.39634384,4,2,4,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,2.67710562663,7.23377606615,2.75246622399,9.23752793216,-2.1666430718200003,3.9064652359199994,0.301217769131,4,0,4,-12.22080915,-76.9360417,8648276.063,289380.8033,POINT (-76.9360417 -12.22080915),544.0,"POLYGON ((288880.6176065296 -1352223.935272556, 289880.6176065296 -1352223.935272556, 289880.6176065296 -1351223.935272556, 288880.6176065296 -1351223.935272556, 288880.6176065296 -1352223.935272556))"
30,898,9710,245,3.232653061,0.048523185999999996,0.0,0.0,0.297943936,2,2,7,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,3.5217062712900002,6.26351740627,2.2961073558300003,6.50659535168,-1.88233977493,3.27455211314,-0.115421870481,4,0,4,-12.22087366,-76.92685319,8648276.063,290380.8033,POINT (-76.92685319 -12.22087366),403.0,"POLYGON ((289880.6204422032 -1352223.934312396, 290880.6204422032 -1352223.934312396, 290880.6204422032 -1351223.934312396, 289880.6204422032 -1351223.934312396, 289880.6204422032 -1352223.934312396))"
31,899,9794,207,3.120535714,0.044491540999999996,1958.3270280000002,0.0,0.026891235,1,4,1,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,4.54158985582,5.661512192999999,2.9529230986400004,6.00263069811,-1.57347202049,-5.18989388617,3.00148516413,4,0,4,-12.22093788,-76.91766463,8648276.063,291380.8033,POINT (-76.91766463 -12.22093788),15.0,"POLYGON ((290880.6230622026 -1352223.935178342, 291880.6230622026 -1352223.935178342, 291880.6230622026 -1351223.935178342, 290880.6230622026 -1351223.935178342, 290880.6230622026 -1352223.935178342))"
32,900,7737,160,3.25,0.047700418,0.0,0.0,0.093632665,2,6,5,52.0,0.0,19.0,5748.0,0.0,1174.0,17136.0,5.098750448130001,4.575534371080001,1.20130706538,4.00299756896,-1.6519486413799997,2.68016878908,-0.419385845969,4,0,4,-12.22100178,-76.90847602,8648276.063,292380.8033,POINT (-76.90847601999999 -12.22100178),17.0,"POLYGON ((291880.6254699366 -1352223.934551969, 292880.6254699366 -1352223.934551969, 292880.6254699366 -1351223.934551969, 291880.6254699366 -1351223.934551969, 291880.6254699366 -1352223.934551969))"
33,901,3858,102,3.082568807,0.058899464000000006,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.441343391639998,2.61982758181,2.16002627066,0.412643562008,-0.862393789227,1.7387659020400004,1.53081627073,4,0,0,-12.22106538,-76.89928735,8648276.063,293380.8033,POINT (-76.89928734999999 -12.22106538),0.0,"POLYGON ((292880.6287963316 -1352223.934639054, 293880.6287963316 -1352223.934639054, 293880.6287963316 -1351223.934639054, 292880.6287963316 -1351223.934639054, 292880.6287963316 -1352223.934639054))"
34,955,1787,68,2.896103896,0.07840966099999999,0.0,0.0,0.052641114,0,0,0,55.0,2.0,43.0,12372.0,82.0,4060.0,67032.0,8.34615244373,-1.8415069316900003,2.2815432546000003,-3.0822423738599998,-0.34621885678900005,-0.154457130187,0.160097480739,1,2,0,-12.21124431,-77.00947965,8649276.063,281380.8033,POINT (-77.00947965 -12.21124431),12.0,"POLYGON ((280880.5961148627 -1351223.934486024, 281880.5961148627 -1351223.934486024, 281880.5961148627 -1350223.934486024, 280880.5961148627 -1350223.934486024, 280880.5961148627 -1351223.934486024))"
35,956,1281,30,2.9090909089999997,0.150018328,0.0,0.0,0.28597402,1,0,0,55.0,2.0,43.0,12372.0,82.0,4060.0,67032.0,8.6428995993,-4.45564280377,-0.968511898544,-10.053260031,0.630356322303,0.5506590091269999,1.1072233093000001,1,2,3,-12.21131123,-77.00029188,8649276.063,282380.8033,POINT (-77.00029188000001 -12.21131123),15.0,"POLYGON ((281880.5986439694 -1351223.934565355, 282880.5986439694 -1351223.934565355, 282880.5986439694 -1350223.934565355, 281880.5986439694 -1350223.934565355, 281880.5986439694 -1351223.934565355))"
